1595421906,61.8,4.16,1622
1595421907,60.1,4.32,1516
1595421908,58.6,4.61,1453
1595421909,57.0,4.18,1626
1595421910,55.5,4.24,1539
1595421911,53.9,3.6,1397
1595421912,52.4,7.03,1467
1595421913,50.9,3.9,1560
1595421914,49.4,3.82,1470
1595421915,47.8,4.86,1479
1595421916,46.2,4.31,1492
1595421917,44.6,4.2,1397
1595421918,43.1,4.83,1419
1595421919,41.5,4.07,1449
1595421920,40.0,4.23,1491
1595421921,38.5,3.92,1473
1595421922,37.0,3.95,1463
1595421923,36.0,4.09,1593
1595421924,35.8,3.89,1503
1595421925,35.5,3.97,1435
1595421926,35.5,66.27,4077
1595421927,75.2,64.94,4048
1595421928,76.0,65.03,4050
1595421929,77.1,65.01,4047
1595421930,78.2,64.72,4044
1595421931,79.4,64.96,4045
1595421932,80.8,64.99,4041
1595421933,81.5,64.99,4039
1595421934,82.4,65.02,4036
1595421935,83.2,64.98,4030
1595421936,84.0,64.37,4026
1595421937,84.2,63.32,4024
1595421938,84.2,63.29,4009
1595421939,84.2,62.1,3992
1595421940,84.2,61.28,3989
1595421941,84.0,59.31,3951
1595421942,84.0,59.93,3954
1595421943,84.1,59.82,3951
1595421944,84.2,59.97,3949
1595421945,84.2,58.82,3950
1595421946,84.2,58.92,3944
1595421947,84.2,59.66,3939
1595421948,84.2,59.03,3945
1595421949,84.2,57.47,3917
1595421950,84.2,58.4,3893
1595421951,84.2,57.7,3910
1595421952,84.2,57.6,3913
1595421953,84.2,57.81,3900
1595421954,84.2,57.14,3898
1595421955,84.2,57.0,3891
1595421956,84.2,56.63,3890
1595421957,84.2,55.96,3901
1595421958,84.2,57.08,3873
1595421959,84.2,56.18,3876
1595421960,84.2,56.77,3872
1595421961,84.2,55.56,3862
1595421962,84.2,55.84,3871
1595421963,84.2,60.12,3856
1595421964,84.2,56.06,3868
1595421965,84.2,55.88,3874
1595421966,84.2,55.02,3861
1595421967,84.2,55.59,3845
1595421968,84.2,55.42,3845
1595421969,84.2,55.36,3853
1595421970,84.2,55.18,3844
1595421971,84.2,55.59,3854
1595421972,84.2,55.0,3845
1595421973,84.2,55.26,3842
1595421974,84.2,55.57,3847
1595421975,84.2,55.12,3849
1595421976,84.2,55.1,3826
1595421977,84.2,55.1,3840
1595421978,84.2,55.22,3841
1595421979,84.2,54.86,3854
1595421980,84.2,54.61,3836
1595421981,84.2,54.51,3810
1595421982,84.2,54.67,3838
1595421983,84.2,54.4,3836
1595421984,84.2,54.76,3832
1595421985,84.2,54.16,3829
1595421986,84.2,54.51,3831
1595421987,84.2,54.87,3848
1595421988,84.2,54.46,3832
1595421989,84.2,54.48,3818
1595421990,84.2,55.03,3828
1595421991,84.2,54.24,3851
1595421992,84.2,54.86,3821
1595421993,84.2,54.61,3839
1595421994,84.2,54.88,3821
1595421995,84.2,53.33,3813
1595421996,84.2,53.6,3798
1595421997,84.2,53.75,3796
1595421998,84.2,53.8,3800
1595421999,84.2,53.78,3796
1595422000,84.2,53.82,3805
1595422001,84.2,53.98,3799
1595422002,84.2,53.88,3809
